Location,Period type,Period,Dim1 type,Dim1,Dim2 type,Dim2,FactValueNumeric,Value,Language,DateModified
United States of America,Year,2019,Sex,Female,Age Group,45-54 years,11.07,11.07,EN,2021-07-06T04:00:00.000Z
United States of America,Year,2019,Sex,Female,Age Group,55-64 years,11.11,11.11,EN,2021-07-06T04:00:00.000Z
United States of America,Year,2019,Sex,Both sexes,Age Group,15-24 years,14.4,14.4,EN,2021-07-06T04:00:00.000Z
United States of America,Year,2019,Sex,Both sexes,Age Group,65-74 years,17.25,17.25,EN,2021-07-06T04:00:00.000Z
United States of America,Year,2019,Sex,Both sexes,Age Group,35-44 years of age,19.34,19.34,EN,2021-07-06T04:00:00.000Z
United States of America,Year,2019,Sex,Both sexes,Age Group,85+ years,19.44,19.44,EN,2021-07-06T04:00:00.000Z
United States of America,Year,2019,Sex,Both sexes,Age Group,75-84 years,19.6,19.6,EN,2021-07-06T04:00:00.000Z
United States of America,Year,2019,Sex,Both sexes,Age Group,45-54 years,19.98,19.98,EN,2021-07-06T04:00:00.000Z
United States of America,Year,2019,Sex,Both sexes,Age Group,55-64 years,21.27,21.27,EN,2021-07-06T04:00:00.000Z
United States of America,Year,2019,Sex,Male,Age Group,15-24 years,22.34,22.34,EN,2021-07-06T04:00:00.000Z
United States of America,Year,2019,Sex,Both sexes,Age Group,25-34 years of age,23.84,23.84,EN,2021-07-06T04:00:00.000Z
United States of America,Year,2019,Sex,Male,Age Group,65-74 years,28.43,28.43,EN,2021-07-06T04:00:00.000Z
United States of America,Year,2019,Sex,Male,Age Group,45-54 years,28.89,28.89,EN,2021-07-06T04:00:00.000Z
United States of America,Year,2019,Sex,Male,Age Group,35-44 years of age,29.04,29.04,EN,2021-07-06T04:00:00.000Z
United States of America,Year,2019,Sex,Male,Age Group,55-64 years,31.82,31.82,EN,2021-07-06T04:00:00.000Z
United States of America,Year,2019,Sex,Male,Age Group,75-84 years,37.13,37.13,EN,2021-07-06T04:00:00.000Z
United States of America,Year,2019,Sex,Male,Age Group,25-34 years of age,37.45,37.45,EN,2021-07-06T04:00:00.000Z
United States of America,Year,2019,Sex,Female,Age Group,85+ years,4.83,4.83,EN,2021-07-06T04:00:00.000Z
United States of America,Year,2019,Sex,Male,Age Group,85+ years,44.99,44.99,EN,2021-07-06T04:00:00.000Z
United States of America,Year,2019,Sex,Female,Age Group,75-84 years,5.78,5.78,EN,2021-07-06T04:00:00.000Z
United States of America,Year,2019,Sex,Female,Age Group,15-24 years,6.15,6.15,EN,2021-07-06T04:00:00.000Z
United States of America,Year,2019,Sex,Female,Age Group,65-74 years,7.39,7.39,EN,2021-07-06T04:00:00.000Z
United States of America,Year,2019,Sex,Female,Age Group,35-44 years of age,9.64,9.64,EN,2021-07-06T04:00:00.000Z
United States of America,Year,2019,Sex,Female,Age Group,25-34 years of age,9.77,9.77,EN,2021-07-06T04:00:00.000Z
